sensor,variance_threshold,segment_count,avg_segment_length,max_segment_variance,segment_rul_distribution,temporal_dynamics_discussion,rul_relation_discussion
sensor_00,0.0006493195842282755,12,833.3333333333334,0.004147268434224318,"{'Moderately High RUL': 5, 'Extremely Low RUL': 5, 'Moderately Low RUL': 2}",Highly dynamic signal with frequent structural changes.,"A substantial share of segments falls in lower-RUL regions, suggesting degradation sensitivity."
sensor_05,11.949091537091217,44,227.27272727272728,45.32096709155295,"{'Moderately Low RUL': 20, 'Moderately High RUL': 17, 'Extremely Low RUL': 6, 'Extremely High RUL': 1}",Highly dynamic signal with frequent structural changes.,"A substantial share of segments falls in lower-RUL regions, suggesting degradation sensitivity."
sensor_10,4.556208999407653,60,166.66666666666666,23.244003723186523,"{'Moderately Low RUL': 27, 'Moderately High RUL': 24, 'Extremely Low RUL': 8, 'Extremely High RUL': 1}",Highly dynamic signal with frequent structural changes.,"A substantial share of segments falls in lower-RUL regions, suggesting degradation sensitivity."
sensor_17,22.83972562169623,60,166.66666666666666,596.2014608470373,"{'Moderately High RUL': 26, 'Moderately Low RUL': 25, 'Extremely Low RUL': 8, 'Extremely High RUL': 1}",Highly dynamic signal with frequent structural changes.,"A substantial share of segments falls in lower-RUL regions, suggesting degradation sensitivity."
sensor_22,142.37038029410786,9,1111.111111111111,450.55975486333455,"{'Extremely High RUL': 4, 'Moderately High RUL': 4, 'Moderately Low RUL': 1}",Moderately dynamic signal with noticeable regime changes.,"Some segments overlap lower-RUL regions, but the relationship is mixed."
sensor_28,1950.1297761724848,7,1428.5714285714287,101925.69507429173,"{'Moderately Low RUL': 6, 'Moderately High RUL': 1}",Moderately dynamic signal with noticeable regime changes.,"A substantial share of segments falls in lower-RUL regions, suggesting degradation sensitivity."
sensor_33,2533.818414614133,6,1666.6666666666667,2392.219938927953,"{'Moderately Low RUL': 4, 'Moderately High RUL': 2}",Moderately dynamic signal with noticeable regime changes.,"A substantial share of segments falls in lower-RUL regions, suggesting degradation sensitivity."
sensor_39,12.011836133698912,22,454.54545454545456,275.76637584967375,"{'Moderately Low RUL': 12, 'Moderately High RUL': 8, 'Extremely High RUL': 1, 'Extremely Low RUL': 1}",Highly dynamic signal with frequent structural changes.,"A substantial share of segments falls in lower-RUL regions, suggesting degradation sensitivity."
sensor_44,28.291926228541787,46,217.3913043478261,126.17623438214672,"{'Moderately High RUL': 21, 'Moderately Low RUL': 19, 'Extremely High RUL': 5, 'Extremely Low RUL': 1}",Highly dynamic signal with frequent structural changes.,"Some segments overlap lower-RUL regions, but the relationship is mixed."
sensor_51,354.2010573437141,9,1111.111111111111,1692.9311811718949,"{'Moderately Low RUL': 8, 'Moderately High RUL': 1}",Moderately dynamic signal with noticeable regime changes.,"A substantial share of segments falls in lower-RUL regions, suggesting degradation sensitivity."
